from_stop_id,to_stop_id,transfer_type,min_transfer_time
10967,549,2,360
10969,313,2,360
10969,365,0,
10971,10972,0,
10971,8747,0,
10971,8756,0,
10971,9952,0,
10972,10034,2,300
10972,10971,0,
10972,10972,0,
10972,8747,0,
10972,8756,0,
10972,9952,0,
10976,230,2,300
11,11427,2,300
11,11542,0,
110,11113,0,
110,322,0,
110,569,0,
11007,1312,0,
11007,1350,0,
11009,663,0,
11009,706,0,
1101,959,2,300
11010,793,0,
11010,842,0,
11011,1312,0,
11011,1350,0,
11013,1042,0,
11013,1105,0,
11014,337,0,
11014,463,2,300
11015,663,0,
11015,706,0,
11016,113,0,
11016,56,0,
11020,165,0,
11020,251,0,
11021,337,2,300
11021,463,2,300
11022,793,0,
11022,842,0,
11023,1042,0,
11023,1105,0,
11029,11029,0,
11032,11032,0,
11032,11998,0,
1105,11013,2,300
1105,11023,0,
11074,5456,0,
11074,5516,0,
11075,6051,0,
11075,9023,0,
11076,6051,0,
11076,9022,0,
11077,5474,2,360
11077,5498,2,360
11078,5474,2,360
11078,5498,2,360
1108,1514,0,
1108,1596,0,
11088,11278,2,300
11088,11279,2,300
11088,11352,2,300
11088,12548,2,300
11095,8752,2,300
11095,8761,2,300
11095,906,0,
11095,911,0,
11103,11283,2,300
11103,11354,2,300
11103,160,0,
11113,110,0,
11113,569,2,300
11113,60,0,
11114,7645,2,540
11122,5561,0,
11122,5623,0,
11123,6019,2,300
11123,6073,0,
11124,6019,2,300
11124,6073,0,
11126,12196,2,300
11126,9291,0,
11126,9293,2,360
11127,5025,0,
11127,5067,0,
11128,5138,0,
11128,8542,0,
11129,5138,0,
11129,8542,0,
11130,5025,0,
11130,5067,0,
11131,5651,0,
11131,5683,0,
11132,5651,0,
11132,5683,0,
11133,5715,0,
11133,5729,0,
11134,5715,0,
11134,5729,0,
11135,5756,0,
11135,5781,0,
11137,5918,0,
11137,5961,0,
1116,12631,2,300
1116,12632,2,300
11192,11192,0,
11196,11199,0,
11199,11196,0,
1120,1971,0,
1120,2062,2,300
11200,1769,2,300
11204,2264,0,
11204,2444,0,
11208,6486,0,
11208,6566,0,
11208,6802,0,
11216,11695,0,
11216,9087,0,
11221,10360,2,360
11221,11088,2,300
11221,11221,0,
11221,11227,0,
11221,11260,2,420
11221,12763,2,360
11221,12764,2,360
11221,932,2,420
11227,10360,2,360
11227,11260,2,420
11243,11243,0,
11243,11247,2,300
11243,11295,2,300
11243,11707,2,300
11243,12716,2,300
11243,6753,0,
11247,11243,2,300
11247,11247,0,
11247,11295,2,360
11247,11707,2,300
11247,12716,2,360
11247,6753,2,300
11248,11246,0,
11248,11253,0,
11248,11266,0,
11248,11267,0,
11248,11269,0,
11248,11289,0,
11248,11788,0,
11251,11251,0,
11251,11286,0,
11251,11287,0,
11252,11251,0,
11252,11252,0,
11252,11286,0,
11252,11287,0,
11254,11398,2,300
11254,6754,2,360
11255,11255,0,
11256,11246,0,
11256,11248,0,
11256,11253,0,
11256,11266,0,
11256,11267,0,
11256,11269,0,
11256,11288,0,
11256,11289,0,
11256,11788,0,
11258,10360,0,
11258,11258,0,
11258,11276,2,360
11258,11277,2,300
11259,12232,2,360
11259,12240,2,360
11260,10360,0,
11260,11221,2,420
11260,11227,2,420
11260,11258,0,
11260,11260,0,
11260,11276,2,300
11260,11277,2,300
11262,826,2,300
11268,11246,0,
11268,11248,0,
11268,11250,0,
11268,11253,0,
11268,11266,0,
11268,11267,0,
11268,11269,0,
11268,11288,0,
11268,11289,0,
11268,11788,0,
11270,11246,0,
11270,11248,0,
11270,11250,0,
11270,11253,0,
11270,11256,0,
11270,11266,0,
11270,11267,0,
11270,11268,0,
11270,11269,0,
11270,11288,0,
11270,11289,0,
11270,11788,0,
11273,11522,2,300
11273,11523,2,300
11273,11535,2,360
11273,11706,2,360
11273,4494,2,480
11273,4495,2,360
11273,4882,2,360
11273,8535,2,540
11273,9129,2,360
11273,985,2,300
11274,10468,2,420
11274,11310,2,360
11274,11337,2,360
11275,10468,2,420
11275,11310,2,360
11275,11311,2,360
11275,11337,2,360
11276,10360,2,300
11276,11258,2,300
11276,11260,2,300
11277,10360,2,300
11277,11260,2,300
11278,11088,2,300
11278,12548,2,360
11278,12763,2,360
11278,12764,2,360
11278,932,2,480
11279,11088,0,
11279,11352,2,300
11279,12548,2,360
11279,12763,2,360
11279,12764,2,360
11279,932,2,480
11280,10799,2,300
11280,1525,2,300
11280,1586,2,300
11280,423,2,300
11281,10799,2,300
11281,1525,2,300
11281,1586,2,300
11281,423,2,300
11282,11350,2,300
11282,11353,2,300
11282,11354,2,300
11282,12585,2,360
11282,160,2,300
11283,11103,2,300
11283,11353,2,300
11283,11354,2,300
11283,12585,2,360
11283,160,2,300
11284,10745,2,300
11284,2051,2,300
11285,10745,2,300
11285,2051,2,300
11286,11251,0,
11286,11252,0,
11287,11251,0,
11287,11252,0,
11288,11246,0,
11288,11248,0,
11288,11250,0,
11288,11253,0,
11288,11256,0,
11288,11266,0,
11288,11267,0,
11288,11268,0,
11288,11269,0,
11288,11788,0,
11289,11246,0,
11289,11248,0,
11289,11253,0,
11289,11256,0,
11289,11266,0,
11289,11267,0,
11289,11268,0,
11289,11269,0,
11289,11288,0,
11289,11788,0,
11290,8604,2,300
11292,11471,2,360
11294,11243,2,360
11294,11247,2,360
11294,11707,2,300
11294,12716,2,300
11294,6753,2,300
113,11016,0,
113,114,0,
1130,1254,0,
1130,659,0,
11303,11438,2,300
11303,12036,2,360
11303,12138,2,480
11303,35,2,300
11303,77,2,360
11303,8035,2,480
11303,8039,2,360
11303,9069,2,300
11303,938,2,300
11303,96,2,360
11305,11245,0,
11305,11305,0,
11307,2892,0,
11307,3151,2,360
11310,10468,2,360
11310,11274,2,360
11310,11337,2,300
11311,10468,2,300
11311,11274,2,420
11311,11275,2,420
11311,11337,2,300
11318,11114,2,600
11318,11962,2,540
1133,1075,0,
1133,1828,0,
1133,1833,2,300
11331,12516,2,300
11331,5332,2,300
11332,12516,2,360
11337,11274,2,360
11337,11275,2,360
11337,11310,2,360
11337,11311,2,300
11348,11353,0,
11348,12585,0,
11349,10745,0,
11349,2051,0,
11350,11282,2,300
11350,11353,0,
11350,11354,2,300
11350,12585,2,300
11352,11088,2,300
11352,11278,2,300
11352,11279,2,300
11352,12763,2,360
11352,12764,2,300
11352,932,2,300
11353,11103,0,
11353,11282,2,300
11353,11283,2,300
11353,11350,0,
11354,11103,2,300
11354,11282,2,300
11354,11283,2,300
11354,11350,2,300
11354,627,2,300
1137,1617,0,
1137,1683,0,
1139,1160,2,360
1139,1654,0,
11392,11392,2,120
114,11016,0,
114,114,0,
114,56,0,
11402,11402,0,
11402,3317,2,360
11403,12721,2,300
11403,331,2,360
11403,545,2,300
11403,8640,2,300
11405,11408,2,480
11426,12348,2,300
11427,25,0,
11427,26,2,360
11429,25,0,
11429,26,2,360
11429,98,2,480
1143,2120,2,300
1143,857,2,300
1143,887,0,
11434,11434,0,
11439,7869,2,300
11441,10400,2,360
11441,11302,2,360
11441,11526,2,360
11441,11535,2,420
11441,35,2,360
11441,77,2,360
11441,78,2,360
11441,8019,2,480
11441,8035,2,480
11441,96,2,360
1147,785,2,360
11470,11393,2,300
11500,165,0,
11500,251,0,
1151,1307,2,360
1151,1355,0,
1152,1575,0,
11523,11272,2,300
11523,11523,0,
11523,11706,2,60
11523,4494,2,300
11523,4495,0,
11523,9129,2,300
11523,985,0,
11524,11272,2,300
11524,11524,0,
11524,11706,0,
11524,4494,2,360
11524,4495,2,300
11524,4882,2,360
11524,9129,2,120
11525,11525,0,
11525,11535,2,360
11525,8041,2,300
11526,11526,0,
11526,11616,2,300
11526,11706,2,120
11526,77,0,
11526,8041,2,360
11526,8535,2,480
11526,96,0,
11526,97,2,300
11527,11438,2,300
11529,1283,0,
11529,231,2,300
11529,232,2,300
11529,2738,2,360
11529,524,0,
11529,942,2,360
1153,1153,0,
11534,12581,2,300
11534,81,0,
11535,11438,2,480
11535,11535,0,
11535,11706,2,120
11535,35,2,480
11535,4495,2,180
11535,78,2,360
11535,8035,2,600
11535,8041,2,300
11535,9129,2,300
11535,95,2,360
11535,96,2,360
11540,6754,2,300
11542,26,0,
11543,3517,2,300
11553,10399,0,
11553,4881,2,300
11557,11556,0,
11559,7650,2,300
11559,8023,2,120
11559,8030,2,120
1156,1070,0,
1156,1071,0,
1156,1156,0,
11573,3735,0,
11579,11408,2,420
11583,11583,0,
11588,11588,0,
11588,1231,0,
11588,8044,0,
11588,8073,0,
11588,8763,2,360
11588,972,0,
11589,11606,0,
11589,1231,0,
11589,8044,2,300
11589,8073,2,300
11589,8754,0,
11589,8763,2,300
11589,972,0,
11592,5287,2,360
11592,5288,2,360
11593,10643,2,300
11593,10644,0,
11598,11604,2,360
1160,1160,0,
1160,1186,0,
1160,1187,0,
1160,12665,2,300
1160,12666,2,300
1160,1648,0,
11602,11597,2,300
11606,1231,0,
